Emri,Cmimi aktual,Cmimi i vjeter
Karte Memorje SD Sandisk 4GB SDSDB-004G-B35,790,790
Karte Memorje SD Sandisk 8GB SDSDB-008G-B35,990,990
Karte Memorje SD Sandisk 4GB SDSDH-004G-U46,990,990
Karte Memorje SD ADATA 16GB ASDH16GCL4-R,"1,490","1,490"
Kamera Acme VR302 4K,"18,990","18,990"
Lente Aparati Canon DSLR EFS 18-55 IS II PK,"26,990","26,990"
Lente Aparati Canon DSLR EF18-135 IS PK,"56,990","56,990"
