Emri,Cmimi aktual,Cmimi i vjeter
Monitor Samsung 24 Full HD LS24AM506NUXEN,"26,990","26,990"
Hard Disk I Jashtem Western Digital My Cloud Home 4TB AM,"29,990","29,990"
Hard Disk I Jashtem Western Digital My Book 8TB AM,"32,990","32,990"
Windows 10 PRO OEM English 64-bit,"34,990","34,990"
Hard Disk I Jashtem Western Digital My Cloud Home 6TB AM,"34,990","34,990"
Monitor Samsung 27 QHD LS27H850QFUXEN,"39,990","39,990"
Laptop HP NoteBook 250 G10 853R0ES,"42,490","52,990"
POS Printer Thermal METAPACE M-30i 100mm,"42,990","42,990"
Kompjuter Dell Vostro 3910 MT N3563,"42,990","63,990"
Laptop HP NoteBook 250 G10 725M8EA,"44,000","54,990"
Laptop Dell Vostro 3520 N1610PVNB,"44,990","62,990"
Laptop HP NoteBook 255 G10 7N0C7ES,"45,600","56,990"
Kompjuter HP Pro Tower 290 G9 6B2S8EA PK,"47,990","59,990"
Monitor Samsung 27 WQHD LS27R750QEUXEN,"49,990","49,990"
Laptop Dell Vostro 3520 N5360PVNB,"51,990","51,990"
Laptop Dell Vostro 3515 N6264VN,"54,990","54,990"
Laptop Dell Vostro 3510 N8803VN,"54,990","54,990"
Laptop Dell Vostro 3510,"57,990","57,990"
Laptop Dell Vostro 3510 N8066VN,"57,990","57,990"
Laptop Lenovo V15 G3 IAP 82TT00C6RM,"57,990","62,990"
Laptop Dell Vostro 3510 N8066VN 2201,"61,990","61,990"
Monitor Samsung 32 UHD LS32R750UEUXEN,"62,990","62,990"
Laptop HP Pavilion 15-eg3136nia 8C9C2EA,"63,200","78,990"
Laptop HP NoteBook 250 G9 6Q942ES I,"69,600","86,990"
Laptop Lenovo IdeaPad Gaming 3 15ACH6 82K2027BRM,"69,990","84,990"
Laptop HP NoteBook 250 G10 725H0EA,"70,400","87,990"
Laptop Dell Vostro 3510 N8012VN,"74,990","99,990"
Monitor Samsung 27 QLED Curved Gaming LC27G75TQSUXEN,"77,990","77,990"
Laptop Dell Vostro 3525 N1055VNB,"78,990","106,990"
Laptop Lenovo IdeaPad 3 15ALC6 82KU026KRM,"79,990","79,990"
Laptop Dell Vostro 3510 N8002VN 2201,"79,990","79,990"
Kompjuter HP AIO 24-cr0012nh 93F49EA,"79,990","99,990"
Laptop Dell Vostro 3525 N1515PVNB,"82,990","114,990"
Kompjuter Dell Vostro 3710 SFF N6594VDT,"84,990","84,990"
Laptop Lenovo V15 G4 IRU 83A10077RM,"89,990","89,990"
Laptop Lenovo IdeaPad Gaming 3 15IHU6 82K101NSRM,"94,990","94,990"
Kompjuter Lenovo AIO IdeaCentre 3 24ALC6 F0G100RBRI,"99,990","99,990"
Laptop Dell Vostro 3520 N1608PVNB,"109,990","109,990"
Laptop Lenovo IdeaPad Flex 5 14ALC7 82R900E1RM,"114,990","114,990"
Laptop Lenovo Yoga Slim 6 14APU8 82X3002SRM,"118,990","118,990"
Laptop Dell Vostro 3520 i7-1255U,"119,990","119,990"
Laptop Dell Vostro 3520 N5305PVNB,"124,990","124,990"
Laptop Dell Vostro 3520 N1617MVNB,"126,990","126,990"
Kompjuter Lenovo AIO IdeaCentre 3 27IAP7 F0GJ00WWRI,"139,990","139,990"
Kompjuter Dell AIO OptiPlex 5400 N003O5400AIO VP,"149,990","149,990"
Apple iMac i5 21.5'' mhk03ze/a,"154,990","154,990"
Laptop Dell Latitude 5540 N003L554015EMEA VP,"159,990","159,990"
Laptop Lenovo Legion 5 15IAH7 82RC00AXRM,"179,990","179,990"
"Apple iMac 24"" M1 8-core 256GB mgpk3ze/a Blue","194,990","194,990"
