Emri,Cmimi aktual,Cmimi i vjeter
KARRIGE GAMING WHITE SHARK KING THRONE  BLACK/RED,14.290,19.990
KARRIGE GAMING WHITE SHARK NYX Black,16.990,19.990
Karrige Gaming Trust GXT 701 Black,17.990,19.990
KARRIGE GAMING WHITE SHARK RACER TWO,25.490,31.990
KARRIGE GAMING WHITE SHARK THUNDERBOLT BLACK,25.990,27.990
KARRIGE GAMING WHITE SHARK THUNDERBOLT RGB BLACK,25.990,27.990
KARRIGE GAMING WHITE SHARK LE MANS BLACK/RED,26.990,29.990
