Emri,Cmimi aktual,Cmimi i vjeter
LOJE PS5 TOM CLANCY'S RAINBOW SIX: EXTRACTION,790,1.390
LOJE PS5 JUDGMENT,1.790,2.990
LOJE PS5 HADES,2.090,2.790
LOJE PS5 DEVIL MAY CRY 5,2.390,4.190
LOJE PS5 CONTROL - ULTIMATE EDITION,2.390,4.190
LOJE PS5 YAKUZA :LIKE A DRAGON,2.790,3.490
LOJE PS5 THE WITCHER 3: WILD HUNT COMPLETE EDITION,2.790,3.490
LOJE PS5 MORTAL SHELL,3.290,4.290
LOJE PS5 LOST JUDGMENT,3.490,3.990
LOJE PS5 NBA 2K22,3.490,3.990
LOJE PS5 WORLD WAR Z: AFTERMATH,3.490,4.490
LOJE PS5 GRAND THEFT AUTO V,3.590,4.390
LOJE PS5 AMONG US - IMPOSTOR EDITION,3.590,4.490
LOJE PS5 DEATH STRANDING DIRECTOR'S CUT,3.590,5.890
LOJE PS5 SIFU VENGEANCE EDITION,3.590,5.990
LOJE PS5 GRAND THEFT AUTO V GTA,3.790,4.490
LOJE  PS5 F1 MANAGER 2023,3.890,5.590
LOJE PS5 ASSASSIN'S CREED MIRAGE,3.990,5.990
LOJE PS5 ASSASSINS CREED MIRAGE,3.990,5.990
LOJE PS5 The Crew Motorfest,4.090,4.990
LOJE PS5 HELLDIVERS 2,N/A,4.290
LOJE PS5 AVATAR THE LAST AIRBENDER QUEST FOR BALAN,4.590,5.390
LOJE PS5 FINAL FANTASY VII REMAKE INTERGRADE,4.590,5.590
LOJE PS5 WWE 2K22,4.590,6.290
LOJE PS5 RESIDENT EVIL VILLAGE,4.590,6.990
LOJE PS5 Uncharted Legacy of Thieves,4.690,5.690
LOJE PS5 RESIDENT EVIL 4 REMAKE STANDARD EDITION,4.690,5.690
LOJE PS5 WWE 2K23,4.690,5.890
LOJE PS5 NBA 2K24 KOBE BRYANT EDITION,4.890,5.890
LOJE PS5 EA SPORTS FC 24,4.890,7.990
LOJE PS5 NBA 2K23 STANDARD EDITION,4.990,5.990
LOJE PS5 DYING LIGHT 2,4.990,8.290
LOJE PS5 MINECRAFT LEGENDS DELUXE EDITION,5.190,5.990
LOJE PS5 SONIC X SHADOW GENERATIONS,N/A,5.290
LOJE PS5 PRINCE OF PERSIA THE LOST CROWN,5.290,5.790
LOJE PS5 Cyberpunk 2077 - Ultimate Edition,5.290,5.990
LOJE PS5 The Last of Us Part II Remastered,5.290,6.090
LOJE PS5 RESIDENT EVIL 4 GOLD EDITION,5.490,5.990
LOJE PS5 HORIZON FORBIDDEN WEST,5.490,8.490
LOJE PS5 RATCHET & CLANK: RIFT APART,5.490,8.990
LOJE PS5 THE LAST OF US PART 1,5.590,7.090
LOJE PS5 RETURNAL,5.690,8.990
LOJE PS5 DEMON'S SOULS REMAKE,5.690,8.990
LOJE PS5 FIFA 23,N/A,5.990
LOJE PS5 MARVELS SPIDER MAN MILES MORALES,5.990,6.990
LOJE PS5 HOGWARTS LEGACY,5.990,7.190
LOJE PS5 AVATAR FRONTIERS OF PANDORA SPECIAL DAY1,5.990,8.990
LOJE PS5 GOD OF WAR RAGNAROK,6.490,7.990
LOJE PS5 SACKBOY A BIG ADVENTURE,6.590,7.990
LOJE PS5 GHOST OF TSUSHIMA DIRECTOR'S CUT - REMAST,6.590,8.990
LOJE PS5 GRAN TURISMO 7,6.690,7.890
LOJE PS5 F1 2022,6.990,8.390
LOJE PS5 MOTOGP 23,7.090,8.490
LOJE PS5 F1 2023,7.090,8.990
LOJE PS5 ASTRO BOT,N/A,7.190
LOJE PS5 MORTAL KOMBAT 1,7.490,8.990
LOJE PS5 STAR WARS JEDI: SURVIVOR,7.590,8.090
LOJE PS5 NIOH COLLECTION,7.590,9.490
LOJE PS5 MARVEL'S SPIDER-MAN 2,7.690,8.690
LOJE PS5 SUICIDE SQUAD KILL THE JUSTICE LEAGUE,7.890,8.790
LOJE PS5 WWE 2K24 STANDART EDITION,N/A,7.990
LOJE PS5 CALL OF DUTY VANGUARD,7.990,9.990
LOJE PS5 TEKKEN 8 LAUNCH EDITION,8.090,8.790
LOJE PS5 RISE OF THE RONIN,8.190,8.990
LOJE PS5 CALL OF DUTY: MODERN WARFARE III,8.290,8.990
LOJE PS5 METAL GEAR SOLID DELTA SNAKE EATER D1 EDI,N/A,8.390
LOJE PS5 ASSASSINS CREED SHADOWS SPECIAL EDITION,N/A,8.390
LOJE PS5 EA SPORTS: F1 24,N/A,8.690
LOJE PS5 FINAL FANTASY VII REBIRTH A,8.790,9.190
LOJE PS5 EA SPORTS FC 25,N/A,8.990
LOJE PS5 CALL OF DUTY: BLACK OPS 6,N/A,9.990
LOJE PS5 METAL GEAR SOLID DELTA SNAKE EATER DELUXE,N/A,10.490
LOJE PS5 ASSASSINS CREED SHADOWS GOLD EDITION,N/A,12.590
