Emri,Cmimi aktual,Cmimi i vjeter
BOXE TRUST 19830 LETO 2.0,N/A,1.290
BOXE TRUST 20943 POLO 2.0,1.490,1.690
BOKS TRUST GEMI RGB,1.890,2.190
BOXE TRUST 23120 ARYS 2.0 RGB LED ILLUMINATED,2.290,2.690
BOXE TRUST 20442 AVORA 2.1,2.690,2.890
Box Trust  Speaker Set Tytan 2.0,4.990,5.690
BOXE TRUST 19019 TYTAN 2.1,9.990,11.990
