Emri,Cmimi aktual,Cmimi i vjeter
GRIRESE FUEGO MAJESTIC CH1111B,2.190,2.690
GRIRESE FUEGO HFP-501,2.890,3.390
GRIRESE FIRST AUSTRIA FA-5114-BL,3.290,3.990
GRIRESE MISHI FUEGO MG 158,3.490,6.290
GRIRESE BEKO CHG 81442 BX,3.790,4.990
GRIRESE PHILIPS HR1393/00,3.990,4.690
GRIRESE FIRST AUSTRIA FA-5114-9,3.990,4.990
GRIRESE BOSCH MMR08A1,4.290,4.990
GRIRESE BOSCH MMR08R2,4.390,5.490
GRIRESE MISHI FUEGO MG 238,6.490,9.490
