Emri,Cmimi aktual,Cmimi i vjeter
PLITKE TEKE FUEGO JB-3211,2.290,2.690
PLITKE TEKE FUEGO JB-3211S,N/A,3.190
PLITKE TEKE FIRST AUSTRIA FA-5082-4,N/A,3.190
PLITKE DYSHE FIRST AUSTRIA FA-5083-4,3.990,4.990
PLITKE TEKE FIRST AUSTRIA FA-5096-1,3.990,5.390
PLITKE DYSHE FUEGO JB-2011,N/A,4.190
PLITKE DYSHE FUEGO JB-2011S,N/A,4.790
PLITKE TEKE FIRST AUSTRIA FA-5096-8,N/A,9.990
PLITKE DYSHE FIRST AUSTRIA FA-5096-7,N/A,12.990
